year,continent,income
1898,asia,1411.3833333333334
1898,europe,3008.1666666666665
1899,africa,919.5370370370371
1899,americas,2162.15
1899,asia,1419.9166666666667
1899,europe,3068.6875
1900,africa,902.1481481481482
1900,americas,2145.825
1900,asia,1441.45
1900,europe,3087.1041666666665
1901,africa,910.4814814814815
1901,americas,2199.625
1901,asia,1445.2333333333333
1901,europe,3116.5416666666665
1902,africa,927.2037037037037
1902,americas,2233.875
1902,asia,1463.8666666666666
1902,europe,3176.0833333333335
1903,africa,956.0925925925926
1903,americas,2274.75
1903,asia,1480.2333333333333
1903,europe,3177.0833333333335
1904,africa,962.1296296296297
1904,americas,2297.425
1904,asia,1492.0833333333333
1904,europe,3254.6875
1905,africa,974.1666666666666
1905,americas,2336.1
1905,asia,1486.2666666666667
1905,europe,3254.5
1906,africa,988.1666666666666
1906,americas,2400.225
1906,asia,1513.7833333333333
1906,europe,3300.25
1907,africa,992.1851851851852
1907,americas,2432.075
1907,asia,1520.35
1907,europe,3340.6666666666665
1908,africa,974.5185185185185
1908,americas,2443.225
1908,asia,1531.3
1908,europe,3379.25
1909,africa,984.6296296296297
1909,americas,2489.975
1909,asia,1556.4333333333334
1909,europe,3440.1041666666665
1910,africa,990.0555555555555
1910,americas,2538.1
1910,asia,1601.7166666666667
1910,europe,3508.6875
1911,africa,998.1851851851852
1911,americas,2538.475
1911,asia,1594.3166666666666
1911,europe,3540.7708333333335
1912,africa,1002.4629629629629
1912,americas,2613.275
1912,asia,1594.1333333333334
1912,europe,3620.75
1913,africa,1008.3518518518518
1913,americas,2615.45
1913,asia,1609.3833333333334
1913,europe,3689.0625
1914,africa,1016.7222222222222
1914,americas,2501.825
1914,asia,1607.8833333333334
1914,europe,3574.0625
1915,africa,1030.8148148148148
1915,americas,2519.575
1915,asia,1609.7833333333333
1915,europe,3531.4166666666665
1916,africa,1038.9259259259259
1916,americas,2608.125
1916,asia,1602.65
1916,europe,3534.25
1917,africa,1050.7037037037037
1917,americas,2642.375
1917,asia,1607.7
1917,europe,3391.2083333333335
1918,africa,1055.1666666666667
1918,americas,2700.9
1918,asia,1552.4166666666667
1918,europe,3253.8333333333335
1919,africa,1083.7777777777778
1919,americas,2721.65
1919,asia,1598.4833333333333
1919,europe,3274.9791666666665
1920,africa,1085.2222222222222
1920,americas,2744.95
1920,asia,1603.7833333333333
1920,europe,3406.0416666666665
1921,africa,1098.5555555555557
1921,americas,2732.225
1921,asia,1619.6
1921,europe,3451.0833333333335
1922,africa,1118.5740740740741
1922,americas,2824.4
1922,asia,1665.5166666666667
1922,europe,3636.7708333333335
1923,africa,1135.5555555555557
1923,americas,2937.45
1923,asia,1691.7833333333333
1923,europe,3735.1875
1924,africa,1153.0185185185185
1924,americas,3020.25
1924,asia,1740.1166666666666
1924,europe,3906.5625
1925,africa,1170.537037037037
1925,americas,3077.825
1925,asia,1791.4
1925,europe,4083.3125
1926,africa,1186.4074074074074
1926,americas,3160.5
1926,asia,1800.2166666666667
1926,europe,4199.5
1927,africa,1198.0185185185185
1927,americas,3230.575
1927,asia,1798.8
1927,europe,4329.0625
1928,africa,1220.148148148148
1928,americas,3365.175
1928,asia,1843.6333333333334
1928,europe,4500.3125
1929,africa,1232.1296296296296
1929,americas,3432.525
1929,asia,1889.4333333333334
1929,europe,4632.3125
1930,africa,1233.4074074074074
1930,americas,3365.6
1930,asia,1873.85
1930,europe,4630.1875
1931,africa,1243.7037037037037
1931,americas,3181.425
1931,asia,1843.4333333333334
1931,europe,4516.041666666667
1932,africa,1256.9814814814815
1932,americas,3059.65
1932,asia,1855.05
1932,europe,4390.0625
1933,africa,1282.888888888889
1933,americas,3114.45
1933,asia,1925.2166666666667
1933,europe,4480.5
1934,africa,1308.8148148148148
1934,americas,3250.4
1934,asia,1998.1166666666666
1934,europe,4584.1875
1935,africa,1336.888888888889
1935,americas,3374.7
1935,asia,2073.5666666666666
1935,europe,4693.770833333333
1936,africa,1364.5185185185185
1936,americas,3498.475
1936,asia,2158.5833333333335
1936,europe,4872.0625
1937,africa,1389.8148148148148
1937,americas,3622.375
1937,asia,2236.0666666666666
1937,europe,5059.791666666667
1938,africa,1396.4074074074074
1938,americas,3630.65
1938,asia,2280.7833333333333
1938,europe,5182.854166666667
1939,africa,1417.388888888889
1939,americas,3739.3
1939,asia,2357.883333333333
1939,europe,5334.333333333333
1940,africa,1439.4074074074074
1940,americas,3804.775
